,Topic,Count,Name
0,-1,993,-1_tm_twitter_musk_elon
1,0,151,0_elonmusk_twitter_people_want
2,1,144,1_billion_buy_musk_elon
3,2,78,2_takeover_hostile_poised_http
4,3,63,3_speech_free_stake_elon
5,4,59,4_teslaownerssv_amp_tesla_teslarati
6,5,59,5_board_join_director_meeting
7,6,58,6_http_employee_musk_elon
8,7,54,7_tesla_billion_according_ceo
9,8,51,8_censorship_ban_hunter_story
10,9,46,9_follower_record_preserve_influx
11,10,45,10_hostile_distraction_takeover_analyst
13,11,44,11_waitbutwhy_statsfeed_erdayastronaut_earth
12,12,44,12_tender_financing_commitment_offer
14,13,42,13_trump_donald_back_differently
15,14,40,14_twtr_temporary_per_cnbc
16,15,35,15_poison_pill_thwart_defense
17,16,33,16_gala_met_fun_musk
18,17,31,17_dorsey_jack_former_ceo
19,18,31,18_people_buying_would_jen
20,19,30,19_speech_free_elonmusk_trend
21,20,27,20_shareholder_board_vote_fiduciary
22,21,24,21_saudi_prince_arabia_reject
23,22,24,22_salary_executive_slash_succeeds
24,23,23,23_stake_breaking_vanguard_honor
25,24,21,24_user_slight_pay_casual
28,25,20,25_china_buying_farmland_influence
27,26,20,26_filing_stake_sec_failing
26,27,20,27_censorship_censor_permanent_judicialwatch
29,28,19,28_amp_avid_music_broadly
30,29,18,29_sue_shareholder_sued_lawsuit
31,30,17,30_homeless_shelter_hq_headquarters
32,31,17,31_texas_state_move_acre
33,32,17,32_scam_crypto_verified_bot
34,33,17,33_pmarca_drug_ritalin_adderall
35,34,16,34_billymk_printer_side_jack
36,35,15,35_bond_leftleaning_sealed_bw
37,36,15,36_largest_shareholder_becomes_buyer
38,37,15,37_update_paperwork_raise_employee
39,38,15,38_video_thanks_case_akheriaty
43,40,14,40_owns_shareholder_largest_fate
45,39,14,39_leadership_story_lesson_involvement
44,41,14,41_dogecoin_doge_memebased_surged
41,44,14,44_tucker_carlson_carlsons_monologue
42,43,14,43_average_liberal_prominent_conservative
40,42,14,42_rogan_joe_superhero_rally
46,45,13,45_hitting_aoc_stop_tell
47,46,13,46_audio_leaked_twitterallhands_ethics
48,47,12,47_edit_button_poll_hint
49,48,12,48_jeff_washington_bezos_post
50,49,12,49_gate_bill_nice_worse
51,50,11,50_ellison_larry_oracle_alwaleed
52,51,11,51_senate_minority_mcconnell_rky
53,52,10,52_bot_spam_defeat_army
